barcode,product_name,brand,category,skin_type,key_ingredients,price,rating,review_count,ph_level,is_fragrance_free,is_paraben_free,is_cruelty_free,country,launch_year
890100000000,Cetaphil Hyaluronic Acid Toner 0,Cetaphil,Toner,oily,Hyaluronic Acid,1165.66,4.6,1693,5.2,True,False,False,France,2016
890100000001,Minimalist Hyaluronic Acid Sunscreen 1,Minimalist,Sunscreen,combination,Hyaluronic Acid,343.66,4.6,4585,5.6,True,False,True,USA,2021
890100000002,Minimalist Aloe Vera Serum 2,Minimalist,Serum,oily,Aloe Vera,1048.99,4.4,126,6.1,False,True,True,Korea,2017
890100000003,Neutrogena Panthenol Cleanser 3,Neutrogena,Cleanser,dry,Panthenol,1361.6,3.8,750,6.7,True,False,False,India,2023
890100000004,Aveeno Retinol Sunscreen 4,Aveeno,Sunscreen,all,Retinol,1451.49,4.4,1991,5.8,False,True,True,Germany,2025
890100000005,Neutrogena Niacinamide Serum 5,Neutrogena,Serum,sensitive,Niacinamide,1053.71,3.9,3207,6.3,False,True,True,France,2020
890100000006,Olay Panthenol Serum 6,Olay,Serum,all,Panthenol,1964.07,4.8,4334,6.8,True,True,False,France,2017
890100000007,Minimalist Tea Tree Oil Treatment 7,Minimalist,Treatment,combination,Tea Tree Oil,918.23,4.0,458,6.9,True,False,False,Korea,2015
890100000008,Plum Aloe Vera Serum 8,Plum,Serum,sensitive,Aloe Vera,1635.0,3.8,4130,5.5,False,True,False,France,2024
890100000009,Aveeno Ceramide Serum 9,Aveeno,Serum,combination,Ceramide,552.79,4.6,268,6.8,False,True,False,India,2017
890100000010,Plum Salicylic Acid Moisturizer 10,Plum,Moisturizer,dry,Salicylic Acid,634.28,4.5,2216,5.9,False,True,False,France,2023
890100000011,Minimalist Vitamin C Toner 11,Minimalist,Toner,sensitive,Vitamin C,1335.92,4.4,4564,6.7,True,False,False,Germany,2019
890100000012,Aveeno Ceramide Toner 12,Aveeno,Toner,all,Ceramide,610.68,4.9,4940,5.6,True,True,True,Germany,2019
890100000013,Olay Zinc Oxide Sunscreen 13,Olay,Sunscreen,combination,Zinc Oxide,1672.7,4.5,2816,5.2,True,False,True,USA,2015
